STATE,POPULATION
.Alabama,"46,72,840"
.Alaska,"6,80,300"
.Arizona,"61,67,681"
.Arkansas,"28,48,650"
.California,"3,62,50,311"
.Colorado,"48,03,868"
.Connecticut,"35,27,270"
.Delaware,"8,71,749"
.District of Columbia,"5,74,404"
.Florida,"1,83,67,842"
.Georgia,"93,49,988"
.Hawaii,"13,15,675"
.Idaho,"15,05,105"
.Illinois,"1,26,95,866"
.Indiana,"63,79,599"
.Iowa,"29,99,212"
.Kansas,"27,83,785"
.Kentucky,"42,56,672"
.Louisiana,"43,75,581"
.Maine,"13,27,040"
.Maryland,"56,53,408"
.Massachusetts,"64,31,559"
.Michigan,"1,00,01,284"
.Minnesota,"52,07,203"
.Mississippi,"29,28,350"
.Missouri,"58,87,612"
.Montana,"9,64,706"
.Nebraska,"17,83,440"
.Nevada,"26,01,072"
.New Hampshire,"13,12,540"
.New Jersey,"86,77,885"
.New Mexico,"19,90,070"
.New York,"1,91,32,335"
.North Carolina,"91,18,037"
.North Dakota,"6,52,822"
.Ohio,"1,15,00,468"
.Oklahoma,"36,34,349"
.Oregon,"37,22,417"
.Pennsylvania,"1,25,63,937"
.Rhode Island,"10,57,315"
.South Carolina,"44,44,110"
.South Dakota,"7,91,623"
.Tennessee,"61,75,727"
.Texas,"2,38,31,983"
.Utah,"25,97,746"
.Vermont,"6,23,481"
.Virginia,"77,51,000"
.Washington,"64,61,587"
.West Virginia,"18,34,052"
.Wisconsin,"56,10,775"
.Wyoming,"5,34,876"
Puerto Rico,"37,82,995"
 , 
